City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mongo,TD,12.1844,18.693,78.37,10,87,8.48,overcast clouds
1,Ambon,ID,-3.6954,128.1814,84.2,74,40,6.91,light rain
2,Gravelbourg,CA,49.8834,-106.5512,15.87,73,3,7.02,clear sky
3,Tarut,SA,26.5733,50.0369,68.0,60,0,9.22,clear sky
4,Ushuaia,AR,-54.8,-68.3,41.0,87,40,11.5,light rain
5,Rikitea,PF,-23.1203,-134.9692,79.38,80,7,13.49,clear sky
6,Puerto Ayora,EC,-0.7393,-90.3518,77.0,93,88,1.01,overcast clouds
7,Ranong,TH,9.9658,98.6348,89.6,58,20,6.91,few clouds
8,Qaanaaq,GL,77.484,-69.3632,1.38,61,62,3.96,broken clouds
9,Portales,US,34.1862,-103.3344,61.0,26,1,10.36,clear sky
10,Mar Del Plata,AR,-38.0023,-57.5575,64.99,77,0,4.61,clear sky
11,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,90,19.57,snow
12,Rocha,UY,-34.4833,-54.3333,62.2,77,5,5.73,clear sky
13,Dingle,PH,10.9995,122.6711,80.46,81,100,13.4,moderate rain
14,Saint-Philippe,RE,-21.3585,55.7679,77.0,57,0,6.91,clear sky
15,Deputatskiy,RU,69.3,139.9,-7.64,83,48,2.46,scattered clouds
16,Tula,RU,54.2044,37.6111,-2.02,87,11,9.48,few clouds
17,Nishihara,JP,26.1842,127.7558,77.0,53,75,13.8,broken clouds
18,Meulaboh,ID,4.1363,96.1285,85.95,62,77,2.1,broken clouds
19,Chuy,UY,-33.6971,-53.4616,63.57,86,5,4.38,clear sky
20,Kargat,RU,55.1956,80.2811,4.73,91,99,17.65,overcast clouds
21,Airai,TL,-8.9266,125.4092,70.88,84,100,0.51,overcast clouds
22,Castro,BR,-24.7911,-50.0119,59.05,80,0,1.43,clear sky
23,Yar-Sale,RU,66.8333,70.8333,-7.4,94,100,18.79,overcast clouds
24,Otta,NO,61.7712,9.5353,24.57,95,100,1.01,overcast clouds
25,Batticaloa,LK,7.7102,81.6924,82.98,67,72,10.27,broken clouds
