City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-03-05 00:24:43,73.5069,80.5464,-29.51,82,3,13.04
1,Kirakira,SB,2021-03-05 00:24:44,-10.4544,161.9205,80.91,77,100,12.19
2,Port Hardy,CA,2021-03-05 00:24:46,50.6996,-127.4199,46.4,76,75,6.91
3,Jamestown,US,2021-03-05 00:20:58,42.097,-79.2353,24.01,91,20,11.3
4,Grindavik,IS,2021-03-05 00:24:47,63.8424,-22.4338,39.2,93,90,4.61
5,Saint-Pierre,RE,2021-03-05 00:24:48,-21.3393,55.4781,77.0,78,40,5.75
6,Sibu,MY,2021-03-05 00:24:49,2.3,111.8167,75.2,94,20,4.61
7,Vila Velha,BR,2021-03-05 00:22:14,-20.3297,-40.2925,78.01,78,0,4.61
8,Punta Arenas,CL,2021-03-05 00:20:36,-53.15,-70.9167,57.2,44,90,4.61
9,Upernavik,GL,2021-03-05 00:24:52,72.7868,-56.1549,-14.39,84,21,15.37
10,Rikitea,PF,2021-03-05 00:20:50,-23.1203,-134.9692,81.81,74,66,6.49
11,Korem,ET,2021-03-05 00:24:52,12.5058,39.5228,52.68,59,0,3.62
12,Vanimo,PG,2021-03-05 00:24:52,-2.6741,141.3028,83.86,68,100,5.39
13,Mataura,NZ,2021-03-05 00:24:54,-46.1927,168.8643,61.0,62,100,8.01
14,Lagoa,PT,2021-03-05 00:24:54,39.05,-27.9833,57.51,64,46,5.14
15,Saint Anthony,US,2021-03-05 00:24:56,45.0205,-93.218,44.6,45,75,5.75
16,Carnarvon,AU,2021-03-05 00:24:58,-24.8667,113.6333,75.2,94,12,9.22
17,Hrinova,SK,2021-03-05 00:24:59,48.5779,19.5257,39.06,86,86,3.62
18,Mocuba,MZ,2021-03-05 00:25:01,-16.8392,36.9856,72.14,98,100,5.26
19,Qaanaaq,GL,2021-03-05 00:25:01,77.484,-69.3632,-22.63,65,0,7.81
20,Klaksvik,FO,2021-03-05 00:25:04,62.2266,-6.589,33.8,86,75,9.35
21,Cherskiy,RU,2021-03-05 00:25:05,68.75,161.3,-15.48,88,100,7.94
22,Tuatapere,NZ,2021-03-05 00:24:48,-46.1333,167.6833,61.0,62,71,8.01
23,Boa Vista,BR,2021-03-05 00:25:07,2.8197,-60.6733,86.0,58,75,6.91
24,Iqaluit,CA,2021-03-05 00:20:42,63.7506,-68.5145,19.4,53,90,14.97
25,Ponta Do Sol,PT,2021-03-05 00:25:07,32.6667,-17.1,60.01,74,40,1.99
26,Montague,US,2021-03-05 00:25:10,42.5356,-72.5351,30.2,31,1,18.41
27,Sylva,RU,2021-03-05 00:25:11,58.0348,56.7635,24.8,86,75,11.18
28,Waipawa,NZ,2021-03-05 00:25:14,-41.4122,175.5153,66.2,48,0,24.16
29,Cidreira,BR,2021-03-05 00:25:15,-30.1811,-50.2056,73.45,89,100,13.04
30,Chokurdakh,RU,2021-03-05 00:25:16,70.6333,147.9167,-9.58,90,100,22.73
31,Ilulissat,GL,2021-03-05 00:25:16,69.2167,-51.1,21.2,79,86,8.05
32,Bluff,NZ,2021-03-05 00:25:18,-46.6,168.3333,61.0,62,95,8.01
33,Ugra,RU,2021-03-05 00:25:20,54.7777,34.3267,19.81,97,64,4.65
34,Mar Del Plata,AR,2021-03-05 00:22:05,-38.0023,-57.5575,69.01,88,20,5.75
35,Hermanus,ZA,2021-03-05 00:25:23,-34.4187,19.2345,57.0,93,45,8.52
36,Nome,US,2021-03-05 00:25:25,64.5011,-165.4064,8.6,78,90,33.38
37,Yellowknife,CA,2021-03-05 00:25:25,62.456,-114.3525,-2.0,71,90,14.97
38,Ushuaia,AR,2021-03-05 00:22:32,-54.8,-68.3,57.2,44,40,10.36
39,Bredasdorp,ZA,2021-03-05 00:24:48,-34.5322,20.0403,55.4,100,35,1.14
40,Tura,IN,2021-03-05 00:25:27,25.5198,90.2201,62.28,31,0,4.52
41,Sitka,US,2021-03-05 00:23:11,57.0531,-135.33,42.8,61,90,3.44
42,Albany,US,2021-03-05 00:20:45,42.6001,-73.9662,26.01,38,28,5.01
43,Am Timan,TD,2021-03-05 00:24:09,11.0297,20.2827,77.2,18,76,8.63
44,Souillac,MU,2021-03-05 00:22:15,-20.5167,57.5167,75.2,83,40,5.75
45,Lebu,CL,2021-03-05 00:25:30,-37.6167,-73.65,59.68,82,0,16.75
46,The Valley,AI,2021-03-05 00:25:30,18.217,-63.0578,78.8,83,20,8.05
47,Avarua,CK,2021-03-05 00:25:34,-21.2078,-159.775,84.2,79,100,8.05
48,Katsuura,JP,2021-03-05 00:25:14,35.1333,140.3,55.0,71,75,8.05
49,Cape Town,ZA,2021-03-05 00:20:58,-33.9258,18.4232,68.0,63,0,17.27
50,Nikolskoye,RU,2021-03-05 00:25:36,59.7035,30.7861,23.0,80,0,13.42
51,Castro,BR,2021-03-05 00:25:38,-24.7911,-50.0119,64.09,96,100,7.27
52,Casa Nova,BR,2021-03-05 00:25:39,-9.4167,-41.1333,86.0,45,20,5.75
53,Parit Buntar,MY,2021-03-05 00:25:40,5.1267,100.4932,80.6,78,20,2.3
54,Chuy,UY,2021-03-05 00:25:41,-33.6971,-53.4616,70.41,92,96,7.36
55,Kupang,ID,2021-03-05 00:21:05,-10.1667,123.5833,80.6,100,20,3.44
56,Egvekinot,RU,2021-03-05 00:25:42,66.3167,-179.1667,0.68,96,100,8.66
57,Sibolga,ID,2021-03-05 00:21:39,1.7427,98.7792,76.24,79,23,4.07
58,Ewo,CG,2021-03-05 00:25:44,-0.8725,14.8206,79.39,69,92,3.78
59,Aripuana,BR,2021-03-05 00:25:45,-9.1667,-60.6333,72.97,95,100,0.27
60,Sur,OM,2021-03-05 00:25:47,22.5667,59.5289,77.9,40,0,4.81
61,Fort Nelson,CA,2021-03-05 00:25:47,58.8053,-122.7002,12.2,67,75,4.61
62,Shahdadkot,PK,2021-03-05 00:25:50,27.8477,67.9055,69.8,23,0,6.11
63,Paita,PE,2021-03-05 00:25:51,-5.0892,-81.1144,76.69,74,19,10.36
64,Singaraja,ID,2021-03-05 00:25:53,-8.112,115.0882,80.04,70,100,2.86
65,Touros,BR,2021-03-05 00:25:54,-5.1989,-35.4608,78.8,83,20,5.75
66,Tiksi,RU,2021-03-05 00:25:56,71.6872,128.8694,-22.36,86,91,5.68
67,Nouadhibou,MR,2021-03-05 00:25:58,20.931,-17.0347,62.6,82,0,21.85
68,Saint-Philippe,RE,2021-03-05 00:23:44,-21.3585,55.7679,77.0,78,40,5.75
69,Caravelas,BR,2021-03-05 00:26:00,-17.7125,-39.2481,75.02,82,15,4.76
70,Axim,GH,2021-03-05 00:26:02,4.8699,-2.2405,79.79,88,29,8.61
71,Kaitangata,NZ,2021-03-05 00:26:05,-46.2817,169.8464,62.56,53,100,5.68
72,Lujiang,CN,2021-03-05 00:26:11,31.2581,117.2817,51.01,81,62,6.71
73,Puerto Ayora,EC,2021-03-05 00:26:12,-0.7393,-90.3518,75.99,98,49,4.45
74,Busselton,AU,2021-03-05 00:26:14,-33.65,115.3333,68.0,98,82,9.98
75,Bethel,US,2021-03-05 00:25:35,41.3712,-73.414,32.0,32,1,10.36
76,Caiaponia,BR,2021-03-05 00:26:16,-16.9567,-51.8103,68.41,92,81,1.72
77,Zunyi,CN,2021-03-05 00:26:18,27.6867,106.9072,48.25,81,100,1.05
78,Bubaque,GW,2021-03-05 00:26:20,11.2833,-15.8333,77.77,66,23,14.23
79,Nemuro,JP,2021-03-05 00:26:20,43.3236,145.575,35.6,93,75,11.5
80,New Norfolk,AU,2021-03-05 00:26:22,-42.7826,147.0587,55.99,56,68,3.0
81,Sao Filipe,CV,2021-03-05 00:26:22,14.8961,-24.4956,70.16,78,98,12.68
82,Hilo,US,2021-03-05 00:26:24,19.7297,-155.09,78.8,53,1,9.22
83,Bowen,AU,2021-03-05 00:26:25,-20.0167,148.2333,82.4,65,75,12.66
84,Quiindy,PY,2021-03-05 00:26:26,-25.9667,-57.2667,75.07,88,42,3.78
85,Raudeberg,NO,2021-03-05 00:26:27,61.9875,5.1352,33.8,80,75,8.05
86,Zhanaozen,KZ,2021-03-05 00:26:28,43.3,52.8,31.68,95,0,5.53
87,Butaritari,KI,2021-03-05 00:26:30,3.0707,172.7902,81.88,77,95,20.2
88,Port Elizabeth,ZA,2021-03-05 00:26:01,-33.918,25.5701,66.2,94,40,4.61
89,Constantine,DZ,2021-03-05 00:26:32,36.365,6.6147,48.2,93,75,9.22
90,Hobart,AU,2021-03-05 00:26:34,-42.8794,147.3294,55.99,54,75,17.27
91,Bouloupari,NC,2021-03-05 00:26:36,-21.8667,166.05,84.2,58,75,8.05
92,Codrington,AU,2021-03-05 00:26:36,-38.2667,141.9667,58.59,63,99,12.68
93,Yanam,IN,2021-03-05 00:26:38,16.7333,82.2167,66.38,95,6,3.0
94,Borovoy,RU,2021-03-05 00:26:39,55.4333,86.0833,23.0,63,0,11.18
95,Boromo,BF,2021-03-05 00:26:41,11.75,-2.9333,83.61,15,0,5.77
96,Husavik,IS,2021-03-05 00:26:43,66.0449,-17.3389,39.2,70,75,11.5
97,Strelka,RU,2021-03-05 00:26:43,58.0728,93.0344,21.61,97,100,6.71
98,Mount Isa,AU,2021-03-05 00:26:45,-20.7333,139.5,87.8,11,21,10.36
99,Kloulklubed,PW,2021-03-05 00:26:46,7.0419,134.2556,84.2,70,75,12.66
100,Namibe,AO,2021-03-05 00:26:48,-15.1961,12.1522,75.13,80,79,2.37
101,Komsomolskiy,UZ,2021-03-05 00:26:49,40.4272,71.7189,41.0,81,90,23.02
102,Whitecourt,CA,2021-03-05 00:26:50,54.1502,-115.6855,39.2,60,75,10.36
103,Thompson,CA,2021-03-05 00:26:52,55.7435,-97.8558,28.4,64,75,5.75
104,Nantucket,US,2021-03-05 00:24:24,41.2835,-70.0995,33.01,81,58,26.44
105,Edinburg,GB,2021-03-05 00:21:52,55.9521,-3.1965,37.99,70,75,8.05
106,Juba,SS,2021-03-05 00:26:53,4.8517,31.5825,79.38,26,25,2.13
107,Sidney,AU,2021-03-05 00:26:53,-33.8679,151.2073,71.01,68,75,25.32
108,San Patricio,US,2021-03-05 00:26:55,28.017,-97.5169,68.0,64,75,20.71
109,Orange Cove,US,2021-03-05 00:26:56,36.6244,-119.3137,69.01,28,1,3.44
110,Omboue,GA,2021-03-05 00:26:58,-1.5746,9.2618,78.82,87,99,3.02
111,Saint-Medard-En-Jalles,FR,2021-03-05 00:26:59,44.8969,-0.7214,50.0,76,75,6.91
112,San Rafael,AR,2021-03-05 00:27:01,-34.6177,-68.3301,82.65,33,28,8.01
113,Dhidhdhoo,MV,2021-03-05 00:27:01,6.8833,73.1,82.56,73,5,13.06
114,Roros,NO,2021-03-05 00:27:02,62.5747,11.3842,23.0,80,75,14.97
115,Martapura,ID,2021-03-05 00:27:05,-3.4167,114.85,77.0,88,40,3.44
116,Sibi,PK,2021-03-05 00:27:05,29.5448,67.8764,72.54,20,0,6.78
117,Ponta Delgada,PT,2021-03-05 00:27:07,37.7333,-25.6667,55.4,76,20,13.8
118,Napanee,CA,2021-03-05 00:27:07,44.2501,-76.9494,23.0,28,75,14.97
119,Fairbanks,US,2021-03-05 00:24:22,64.8378,-147.7164,15.01,72,1,3.44
120,Lasa,IT,2021-03-05 00:27:08,46.6166,10.7002,39.0,93,0,4.61
121,Atuona,PF,2021-03-05 00:27:10,-9.8,-139.0333,79.99,76,1,12.62
122,Mabaruma,GY,2021-03-05 00:27:11,8.2,-59.7833,72.95,97,82,3.8
123,Kruisfontein,ZA,2021-03-05 00:27:13,-34.0033,24.7314,64.99,92,24,9.71
124,Khatanga,RU,2021-03-05 00:27:13,71.9667,102.5,-27.44,77,0,11.74
125,Hambantota,LK,2021-03-05 00:27:15,6.1241,81.1185,71.6,100,16,3.44
126,Vila Franca Do Campo,PT,2021-03-05 00:27:15,37.7167,-25.4333,55.4,76,20,13.8
127,Shenjiamen,CN,2021-03-05 00:27:16,29.9576,122.298,50.22,87,27,5.26
128,Northam,GB,2021-03-05 00:27:18,51.0333,-4.2167,42.01,90,71,1.01
129,Inuvik,CA,2021-03-05 00:27:19,68.3499,-133.7218,-7.6,64,24,6.91
130,Salalah,OM,2021-03-05 00:24:42,17.0151,54.0924,71.6,56,0,2.3
131,Ulladulla,AU,2021-03-05 00:27:20,-35.35,150.4667,69.01,52,75,16.11
132,Barrow,US,2021-03-05 00:25:40,71.2906,-156.7887,-25.6,68,90,17.27
133,Buraydah,SA,2021-03-05 00:27:21,26.326,43.975,57.2,54,0,18.41
134,Farafangana,MG,2021-03-05 00:27:23,-22.8167,47.8333,76.44,89,75,10.65
135,Krasnoselkup,RU,2021-03-05 00:27:24,65.7,82.4667,8.51,95,95,12.84
136,Vaini,TO,2021-03-05 00:22:40,-21.2,-175.2,84.2,70,75,5.75
137,Ancud,CL,2021-03-05 00:27:25,-41.8697,-73.8203,59.0,72,0,3.44
138,Tasiilaq,GL,2021-03-05 00:27:26,65.6145,-37.6368,33.8,93,90,4.61
139,Klimovo,RU,2021-03-05 00:27:28,52.3805,32.1923,28.78,98,94,8.97
140,Dickinson,US,2021-03-05 00:27:30,29.4608,-95.0513,61.0,55,1,11.5
141,Port-Gentil,GA,2021-03-05 00:27:31,-0.7193,8.7815,82.4,89,40,3.44
142,Yulara,AU,2021-03-05 00:27:33,-25.2406,130.9889,84.2,13,53,11.5
143,Port Alfred,ZA,2021-03-05 00:26:22,-33.5906,26.891,66.99,92,44,1.99
144,Faanui,PF,2021-03-05 00:27:20,-16.4833,-151.75,83.73,71,72,7.43
145,Valparaiso,CL,2021-03-05 00:24:52,-33.0393,-71.6273,62.01,100,75,6.91
146,Palmer,US,2021-03-05 00:27:35,42.1584,-72.3287,30.2,31,1,17.27
147,Oranjemund,NA,2021-03-05 00:27:35,-28.55,16.4333,61.66,84,0,9.35
148,Bambous Virieux,MU,2021-03-05 00:25:48,-20.3428,57.7575,75.2,83,40,5.75
149,Faya,SA,2021-03-05 00:27:37,18.3851,42.4509,59.0,88,20,5.75
150,Springville,US,2021-03-05 00:27:38,40.1652,-111.6107,48.2,61,1,6.91
151,Severo-Kurilsk,RU,2021-03-05 00:27:38,50.6789,156.125,32.04,97,87,16.44
152,Kaabong,UG,2021-03-05 00:27:40,3.4836,34.1492,71.24,52,33,10.76
153,Yarada,IN,2021-03-05 00:26:38,17.65,83.2667,69.8,100,27,2.3
154,Georgetown,MY,2021-03-05 00:26:13,5.4112,100.3354,81.0,88,20,5.68
